Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.1741E-36,4.9302E-19,0.0042472,0,0,0,0.118,0.00022082,-1.4238E-37,-2.5519E-21,0.00022082,1.2317E-20,0.00042194,0,0,0,0,0,0,package://asimov_simplified/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://asimov_simplified/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upbase_link,4.565E-18,0.038705,-1.5824E-17,0,0,0,0.58276,0.00085254,1.1312E-19,-5.9904E-20,0.00082203,-2.3382E-19,0.00059485,0,0,0,0,0,0,package://asimov_simplified/meshes/upbase_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://asimov_simplified/meshes/upbase_link.STL,,upbase_link-1,Origin_upbase_joint2,Axis_upbase_joint2,upbase_joint,continuous,0,0,0.025,1.5708,0,1.5708,base_link,0,1,0,,,,,,,,,,,,
prox_link,6.3306E-18,-0.15716,0.0005625,0,0,0,1.9378,0.014439,9.1498E-19,-1.3979E-19,0.0022903,1.5237E-19,0.014015,0,0,0,0,0,0,package://asimov_simplified/meshes/prox_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://asimov_simplified/meshes/prox_link.STL,,prox_link-1,Origin_prox_joint2,Axis_prox_joint2,prox_joint,revolute,0,0.092075,0,0,0,3.1416,upbase_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
distal_link,-6.7589E-18,0.18095,0.00049507,0,0,0,2.0127,0.019589,-1.1089E-18,-2.04E-19,0.002078,-1.7181E-18,0.019451,0,0,0,0,0,0,package://asimov_simplified/meshes/distal_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://asimov_simplified/meshes/distal_link.STL,,distal_link-1,Origin_distal_joint2,Axis_distal_joint2,distal_joint,revolute,0,-0.31433,0,0,0,-3.1416,prox_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
wrist_flex_link,1.6288E-17,0.060707,-9.3183E-05,0,0,0,0.48493,0.00059851,-1.2113E-19,2.0065E-21,0.00043866,-3.1675E-21,0.0006197,0,0,0,0,0,0,package://asimov_simplified/meshes/wrist_flex_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://asimov_simplified/meshes/wrist_flex_link.STL,,wrist_link-1,Origin_wrist_flex_joint2,Axis_wrist_flex_joint2,wrist_flex_joint,revolute,0,0.3619,0,0,0,0,distal_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
wrist_twist_link,-1.295E-05,0.038827,-9.0987E-07,0,0,0,0.25544,0.000173,-4.8498E-10,-2.9509E-20,0.0001701,9.6433E-21,0.00025541,0,0,0,0,0,0,package://asimov_simplified/meshes/wrist_twist_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://asimov_simplified/meshes/wrist_twist_link.STL,,subfing_link-1,Origin_wrist_twist_joint2,Axis_wrist_twist_joint2,wrist_twist_joint,continuous,1.299E-05,0.11531,-9.2273E-05,0,0,0,wrist_flex_link,0,1,0,,,,,,,,,,,,
finger1_link,-0.021321,-0.001852,0.019912,0,0,0,0.081443,4.3829E-05,-1.8224E-06,-2.7174E-12,1.9906E-05,8.9567E-12,4.1116E-05,0,0,0,0,0,0,package://asimov_simplified/meshes/finger1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://asimov_simplified/meshes/finger1_link.STL,,finger_link-1,Origin_finger1_joint2,Axis_finger1_joint2,finger1_joint,prismatic,0.0019818,0.12535,-0.019389,0,0,0,wrist_twist_link,1,0,0,0,0,-0.01,0,,,,,,,,
finger2_link,-0.021441,0.001852,-0.019904,0,0,0,0.081443,4.3829E-05,1.8224E-06,2.7174E-12,1.9906E-05,8.9567E-12,4.1116E-05,0,0,0,0,0,0,package://asimov_simplified/meshes/finger2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://asimov_simplified/meshes/finger2_link.STL,,finger_link-2,Origin_finger2_joint2,Axis_finger2_joint2,finger2_joint,prismatic,-0.002128,0.12535,0.020427,0,0,3.1416,wrist_twist_link,1,0,0,0,0,0,0.01,,,,,,,,
