Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0013534,0.00175,0.055542,0,0,0,0.118,0.00022082,-7.5508E-22,-9.9376E-21,0.00022082,-6.569E-19,0.00042194,0,0,0,0,0,0,package://collarm/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://collarm/meshes/base_link.STL,,base_link-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upbase_link,-1.4745E-17,-0.016989,0.0508,0,0,0,0.58842,0.00085482,6.2042E-20,1.5771E-20,0.00082214,-1.9538E-19,0.00059713,0,0,0,0,0,0,package://collarm/meshes/upbase_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://collarm/meshes/upbase_link.STL,,upbase_link-1,Origin_upbase_joint,Axis1 <base_link-2>,upbase_joint,revolute,0.0013534,-0.11186,0.05255,-3.1416,0,0,base_link,0,1,0,5,0.5,-1.57,1.57,,,,,,,,
prox_link,-1.1493E-17,5.5511E-17,0.045,0,0,0,1.9378,0.014439,2.9886E-18,-1.3249E-19,0.0022903,7.8841E-19,0.014015,0,0,0,0,0,0,package://collarm/meshes/prox_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://collarm/meshes/prox_link.STL,,prox_link-1,Origin_prox_joint,Axis2 <upbase_link-1>,prox_joint,revolute,0,0.19368,0.0058,0,0,0,upbase_link,0,0,1,5,0.5,-1.57,1.57,,,,,,,,
distal_link,-1.4745E-17,0,0.04,0,0,0,2.0127,0.019589,7.2214E-19,8.5433E-20,0.002078,-2.765E-19,0.019451,0,0,0,0,0,0,package://collarm/meshes/distal_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://collarm/meshes/distal_link.STL,,distal_link-1,Origin_distal_joint,Axis1 <prox_link-1>,distal_joint,revolute,0,0.33811,0.0050674,0,0,0,prox_link,0,0,1,5,0.5,-1.57,1.57,,,,,,,,
wrist_link,-2.537E-17,-0.0014726,0.035,0,0,0,0.48493,0.00059851,-1.3199E-19,-2.2313E-21,0.00043866,-1.3288E-19,0.0006197,0,0,0,0,0,0,package://collarm/meshes/wrist_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://collarm/meshes/wrist_link.STL,,wrist_link-2,Origin_wrist_joint,Axis2 <distal_link-1>,wrist_joint,revolute,0,0.24313,0.0044118,0,0,0,distal_link,0,0,1,5,0.5,-1.57,1.57,,,,,,,,
subfing_link,1.5179E-18,0.038955,-7.8063E-18,0,0,0,0.25614,0.00017484,2.4512E-20,-3.6189E-21,0.00017072,-3.7104E-21,0.00025723,0,0,0,0,0,0,package://collarm/meshes/subfing_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://collarm/meshes/subfing_link.STL,,subfing_link-2,Origin_subfing_joint,Axis1 <wrist_link-2>,subfing_joint,revolute,0,0.05313,0.035,0,0,0,wrist_link,0,1,0,5,0.5,-1.57,1.57,,,,,,,,
finger2_link,-0.00027571,-0.001852,0.02,0,0,0,0.081443,4.3829E-05,-1.8224E-06,-2.7174E-12,1.9906E-05,8.9567E-12,4.1116E-05,0,0,0,0,0,0,package://collarm/meshes/finger2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://collarm/meshes/finger2_link.STL,,finger_link-2,Origin_finger2_joint,Axis2 <subfing_link-2>,finger2_joint,revolute,-0.01905,0.12535,-0.020524,0,0,0,subfing_link,0,0,1,5,0.5,-1.57,1.57,,,,,,,,
finger1_link,-0.00027571,-0.001852,0.02,0,0,0,0.081443,4.3829E-05,-1.8224E-06,-2.7174E-12,1.9906E-05,8.9567E-12,4.1116E-05,0,0,0,0,0,0,package://collarm/meshes/finger1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://collarm/meshes/finger1_link.STL,,finger_link-3,Origin_finger1_joint,Axis3 <subfing_link-2>,finger1_joint,revolute,0.01905,0.12535,0.019476,-3.1416,0,3.1416,subfing_link,0,0,-1,5,0.5,-1.57,1.57,,,,,,,,
