Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.1741E-36,0.0042472,-2.3296E-19,0,0,0,0.118,0.00022082,-2.5519E-21,-3.3632E-38,0.00042194,2.248E-22,0.00022082,0,0,0,0,0,0,package://colllarm/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://colllarm/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upbase_link,1.185E-17,0.039412,-1.0596E-05,0,0,0,0.59058,0.00085911,4.8853E-20,-2.253E-20,0.0008286,-7.7406E-20,0.00059494,0,0,0,0,0,0,package://colllarm/meshes/upbase_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://colllarm/meshes/upbase_link.STL,,upbase_link-1;joint 5-1,Origin_upbase_joint,Axis1 <base_link-1>,upbase_joint,revolute,0,0,0.025,1.5708,0,0,base_link,0,1,0,5,0.5,-1.57,1.57,,,,,,,,
prox_link,-0.0381,-0.15653,0.04502,0,0,0,1.9456,0.014446,-4.0564E-19,-1.3614E-19,0.0022969,2.3823E-19,0.014015,0,0,0,0,0,0,package://colllarm/meshes/prox_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://colllarm/meshes/prox_link.STL,,joint 5-2;prox_link-1,Origin_prox_joint,Axis2 <prox_link-1>,prox_joint,revolute,0.0381,0.044438,0.4314,1.5708,0,0,base_link,0,0,1,5,0.5,-1.57,1.57,,,,,,,,
distal_link,1.3718E-17,0.2007,0.00066865,0,0,0,2.0206,0.019596,-3.1694E-19,-1.4063E-20,0.0020846,-3.9705E-20,0.019451,0,0,0,0,0,0,package://colllarm/meshes/distal_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://colllarm/meshes/distal_link.STL,,distal_link-1;joint 5-3,Origin_distal_joint,Axis1 <distal_link-1>,distal_joint,revolute,0,0,0.41235,1.5708,0,0,base_link,0,0,1,5,0.5,-1.57,1.57,,,,,,,,
wrist_link,3.3396E-18,0.079757,0.0012182,0,0,0,0.48493,0.00059851,-9.8281E-20,-1.8489E-20,0.00043866,-1.6924E-20,0.0006197,0,0,0,0,0,0,package://colllarm/meshes/wrist_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://colllarm/meshes/wrist_link.STL,,wrist_link-1,Origin_wrist_joint,Axis2 <wrist_link-1>,wrist_joint,revolute,0,0,0.77425,1.5708,0,0,base_link,0,0,1,5,0.5,-1.57,1.57,,,,,,,,
subfing_link,4.0484E-08,0.038827,-8.6736E-19,0,0,0,0.25544,0.000173,-4.8498E-10,-1.1374E-21,0.0001701,-2.7126E-21,0.00025541,0,0,0,0,0,0,package://colllarm/meshes/subfing_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://colllarm/meshes/subfing_link.STL,,subfing_link-1,Origin_subfing_link,Axis1 <subfing_link-1>,subfing_link,revolute,0,-0.0012182,0.90861,1.5708,0,0,base_link,0,1,0,5,0.5,-1.57,1.57,,,,,,,,
finger1_link,-0.019322,-0.0023864,0.020103,0,0,0,0.082612,4.4181E-05,-1.8224E-06,-2.7174E-12,2.0259E-05,8.9567E-12,4.1119E-05,0,0,0,0,0,0,package://colllarm/meshes/finger1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://colllarm/meshes/finger1_link.STL,,finger_link-1;joint 2.5-2,Origin_finger2_joint,Axis4 <subfing_link-1>,finger2_joint,prismatic,0,0.018258,1.034,1.5708,0,0,base_link,0,0,1,5,0.5,-1.57,1.57,,,,,,,,
finger2_link,4.1741E-36,0.0042472,-2.3296E-19,0,0,0,0.118,0.00022082,-2.5519E-21,-3.3632E-38,0.00042194,2.248E-22,0.00022082,0,0,0,0,0,0,package://colllarm/meshes/finger2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://colllarm/meshes/finger2_link.STL,,finger_link-2;joint 2.5-1,Origin_finger2_joint2,Axis6 <subfing_link-1>,finger2_joint,prismatic,0.01905,-0.021742,1.034,1.5708,0,3.1416,base_link,0,0,-1,5,0.5,-1.57,1.57,,,,,,,,
