Time(s),T1 Temp(C),T2 Temp(C),T3 Temp(C)
14:24:06,999,999,999
14:24:07,999,999,999
14:24:08,999,999,999
14:24:09,999,999,999
14:24:10,999,999,999
14:24:11,999,999,999
14:24:12,999,999,999
