Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.342E-17,0.00175,0,0,0,0,0.37094,0.0025643,5.2134E-22,-5.7244E-19,0.0067502,0,0.0041866,0,0,0,0,0,0,package://colarm/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://colarm/meshes/base_link.STL,,base_link-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upbase_link,-1.3629E-16,0.005,-1.459E-14,0,0,0,0.20106,0.00032337,-8.721E-18,0,0.0006434,-9.3345E-16,0.00032337,0,0,0,0,0,0,package://colarm/meshes/upbase_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://colarm/meshes/upbase_link.STL,,upbase_link-2,Origin_upbase_joint3,Axis_upbase_joint,upbase_joint,revolute,0,0,0,1.5708,0,3.1322,base_link,0,1,0,25,0.5,-1.57,1.57,,,,,,,,
prox_link,0.0022249,0.3694,0.0027483,0,0,0,8.5094,0.078716,-5.827E-18,2.04E-06,0.018015,1.5993E-15,0.080556,0,0,0,0,0,0,package://colarm/meshes/prox_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://colarm/meshes/prox_link.STL,,prox_link-1;Assem1;prox_joint-2,Origin_prox_joint3,Axis1 <prox_joint-1>,prox_joint,revolute,-0.0031353,0.0935,0.0050186,3.1416,-0.0093664,3.1416,upbase_link,-0.54145,-0.84072,-0.0050716,25,0.5,-1.57,1.57,,,,,,,,
distal_link,0.00013587,0.23939,-0.00044913,0,0,0,3.0627,0.035901,-3.3881E-20,-6.8097E-20,0.0033506,4.5175E-20,0.036119,0,0,0,0,0,0,package://colarm/meshes/distal_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://colarm/meshes/distal_link.STL,,distal_link-1;prox_joint-3,Origin_distal_joint3,Axis1 <prox_joint-2>,distal_joint,revolute,0.0050063,0.43,0.006154,0,0,0,prox_link,0,0,0,25,0.5,-1.57,1.57,,,,,,,,
basewrist_link,3.1985E-06,0.041687,-2.6948E-05,0,0,0,0.2986,0.0002408,1.3878E-21,-8.6736E-22,0.00017399,6.2572E-37,0.0002408,0,0,0,0,0,0,package://colarm/meshes/basewrist_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://colarm/meshes/basewrist_link.STL,,basewrist_link-1;basewrist_joint-1,Origin_basewrist_joint3,Axis1 <prox_joint-3>,basewrist_joint,revolute,-0.00021009,0.48,-0.00075716,0,0,0,distal_link,0,0,0,25,0.5,-1.57,1.57,,,,,,,,
wrist_link,0.0024253,0.0175,0.00046914,0,0,0,0.070875,1.9195E-05,-3.0988E-17,-6.7763E-21,2.392E-05,1.7007E-18,1.9195E-05,0,0,0,0,0,0,package://colarm/meshes/wrist_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://colarm/meshes/wrist_link.STL,,wrist_link-1,Origin_wrist_joint3,Axis2 <upbase_link-2>,wrist_joint,revolute,-0.00054474,0.095,-0.00075892,0,1.5162,0,basewrist_link,-0.99898,0,0.045176,25,0.5,-1.57,1.57,,,,,,,,
